Portuguese,French
filho,fils
disso,de cela
toda,tous
hoje,aujourd'hui
mulher,femme
meus,mon
todo,tous
nome,nom
seja,c'est
num,dans un
desculpa,Désolé
outro,autre
nosso,notre
nossa,notre
sair,sortir
queria,Je voulais
sério,sérieux
dá,de la
mundo,monde
quanto,comme
seus,ton
certeza,certitude
mal,mauvais
dela,son
têm,il a
amigo,ami
volta,dos
às,au
carro,voiture
três,trois
passa,raisin
embora,bien que
fez,il l'a fait
novo,nouveau
aconteceu,c'est arrivé
deixa,il part
problema,problème
menos,moins
vem,il vient
nas,dans le
lugar,lieu
consigo,avec toi
será,ce sera
dentro,dans
pensar,pense
ok,D'ACCORD
vezes,fois
lado,côté
primeiro,d'abord
contigo,avec toi
numa,dans un
todas,tous
tentar,essayer
vi,J'ai vu
aos,au
parte,partie
cara,affronter
ei,Hé
ali,là
voltar,revenir en arrière
algum,quelques
hora,temps
porquê,pourquoi
anda,marcher
desculpe,Désolé
vê,voir
ajudar,pour aider
aquele,Celui-la
obrigada,merci
querida,cher
sinto,Je me sens
pensei,Je pensais
los,eux
homens,hommes
duas,deux
dias,jours
sabia,tu le savais
fui,Je suis allé
matar,tuer
gente,personnes
uns,quelques
gosto,J'aime
razão,raison
vos,toi
atrás,dos
deixar,partir
cabeça,tête
podem,ils peuvent
amor,amour
fica,il est
achas,tu penses
somos,nous sommes
pronto,prêt
família,famille
horas,heures
entre,entre
ajuda,aide
frente,devant
tal,tel
polícia,police
ideia,idée
tarde,après-midi
suas,ton
porta,porte
passar,dépenser
tenha,tu as
amigos,amis
ouvir,entendre
precisa,il faut
fiz,Je l'ai fait
encontrar,trouver
deles,d'eux
ia,allait
nenhum,aucun
momento,moment
devia,devrait
acha,il pense
aquilo,Celui-la
cidade,ville
cima,en haut
minutos,minutes
desde,depuis
foram,ils étaient
si,Oui
pessoa,personne
entrar,entrer
pra,pour
diga,dire
morrer,mourir
nova,nouveau
podia,pourrait
seria,il serait
caso,cas
chegar,arriver
outros,autres
tanto,les deux
morto,mort
levar,prendre
amanhã,demain
forma,formulaire
quase,presque
fosse,étaient
medo,peur
lhes,eux
história,histoire
conta,compte
óptimo,super
contra,contre
irmão,frère
sido,a été
minhas,mon
aquela,Celui-la
arma,bras
caminho,chemin
morte,la mort
sorte,chance
enquanto,alors que
vir,viens
cuidado,Prudent
primeira,d'abord
cada,chaque
deixe,partir
semana,semaine
feliz,heureux
trabalhar,travailler
precisamos,nous avons besoin
alguns,quelques
espero,J'espère
maneira,manière
tive,J'avais
olhos,yeux
faço,Je fais
ano,année
vejo,Je vois
rapaz,garçon
fala,il parle
durante,pendant
acabou,il a fini
desta,ce
pessoal,les gars
pára,à
quarto,chambre
estes,ces
feito,fait
neste,dans ce
for,pour
mãos,mains
sangue,sang
fim,fin
acontecer,se produire
dr,Dr.
ouve,écouter
faça,faire
estas,ces
adeus,au revoir
querem,vouloir
causa,cause
meio,assez
filha,fille
água,eau
juntos,ensemble
lamento,Je suis désolé
perto,fermer
teus,ton
jogo,jeu
cinco,cinq
umas,quelques
importante,important
última,dernier
logo,logo
manhã,matin
chefe,chef
senhora,madame
acredito,Je crois
nossos,la nôtre
calma,calme
poder,pouvoir
única,unique
querido,cher
ouvi,J'ai entendu
deu,ça a donné
terra,Terre
disto,de ceci
guerra,guerre
rápido,rapide
algumas,quelques
realmente,vraiment
poderia,ça pourrait
digo,Je dis
contar,dire
amo,J'aime
mão,main
nisso,dans ce
baixo,faible
difícil,difficile
começar,pour commencer
viu,il a vu
comer,manger
ah,ah
espere,Attendez
mesma,même
deste,de ceci
problemas,problèmes
capitão,capitaine
corpo,corps
dólares,dollars
importa,matière
número,nombre
usar,à utiliser
disseste,vous avez dit
maior,plus gros
segundo,deuxième
significa,moyens
escola,école
sabem,savoir
parar,arrêter
dormir,dormir
andar,marcher
quatro,quatre
segurança,sécurité
coração,cœur
raio,rayon
havia,il y avait
sai,partir
teve,il avait
buscar,recherche
presidente,président
nenhuma,aucun
agente,agent
chega,il arrive
rapazes,garçons
pequeno,petit
idiota,idiot
fizeste,tu l'as fait
tirar,jeter
morreu,il est mort
força,force
sabemos,nous savons
ontem,hier
prazer,plaisir
procura,recherche
viver,vivre
mau,mauvais
estado,État
sentir,ressentir
meses,mois
chama,flamme
festa,faire la fête
mulheres,femmes
pedir,demander
conheço,Je sais
crianças,enfants
devo,Je dois
rapariga,fille
perder,perdre
sra,Mme.
pergunta,question
marido,mari
eram,ils étaient
fazes,tu fais
altura,hauteur
porra,condamner
olhe,regarder
olhar,regarder
velho,vieux
muitas,beaucoup de
mil,mille
filhos,enfants
näo,Non
trás,dos
fazendo,faire
muitos,beaucoup
equipa,équipe
pais,pays
telefone,téléphone
acabar,pour finir
dê,de
teria,aurait
possível,possible
depressa,rapidement
elas,ils
venha,viens
esperar,attendez
muita,beaucoup
tomar,prendre
pena,pitié
gosta,il aime
armas,armes
nesta,dans ce
vivo,vivant
vindo,à venir
tivesse,avait
longe,loin
penso,Je pense
acordo,accord
demais,trop
vossa,le vôtre
pensa,pense
errado,faux
conseguir,obtenir
gostaria,Je voudrais
estranho,étrange
veio,il est venu
fácil,facile
sente,sentir
essas,ces
brincar,jouer
licença,licence
suficiente,assez
seis,six
mudar,changer
passado,passé
estavam,ils étaient
plano,plat
fogo,feu
livro,livre
esses,ceux
irmã,sœur
dizem,ils disent
falta,manque
fazem,faire
jantar,déjeuner
rei,roi
devias,tu devrais
matou,tué
cama,lit
leva,il prend
nossas,notre
foste,tu étais
sozinho,seul
adoro,J'adore
exactamente,exactement
paz,paix
tuas,ton
além,en outre
pôr,mettre
palavra,mot
sala,chambre
consegue,il atteint
pagar,payer
seguir,suivre
possa,peut
atenção,attention
fique,rester
passou,c'est arrivé
comida,nourriture
ar,air
culpa,blâmer
pelos,par le
ficou,il a été laissé
ligar,se connecter
bastante,assez
continua,continue
correr,courir
estavas,tu étais
precisas,précis
boca,bouche
luz,lumière
outras,autres
único,célibataire
menina,fille
deixou,il est parti
casamento,mariage
acreditar,croire
médico,médecin
próprio,propre
semanas,semaines
chegou,il est arrivé
fico,Je suis
minuto,minute
especial,spécial
chamar,appeler
lembro,Je me souviens
forte,fort
esteja,être
perguntar,demander
mostrar,montrer
filme,film
sequer,même pas
provavelmente,probablement
país,pays
cala,fermez-la
houve,il y avait
pé,pied
partir,partir
fazê,faire
diferente,différent
pior,pire
rua,route
deveria,cela devrait
próxima,suivant
café,café
direito,droite
existe,existe
boas,bien
resto,repos
quiser,il veut
pare,Arrêt
toma,prendre
quis,recherché
viste,scie
lembra,souviens-toi
hospital,hôpital
estive,J'étais
arranjar,organiser
portanto,donc
continuar,continuer
descobrir,découvrir
conhece,savez-vous
bebé,bébé
sam,Sam
sexo,sexe
manter,maintenir
visto,Visa
las,eux
jogar,jouer
vim,Je suis venu
encontrei,J'ai trouvé
demasiado,aussi
vosso,ton
ai,là
raios,rayons
ponto,indiquer
sentido,sens
dez,dix
milhões,des millions
puta,putain
sinal,signal
aqueles,Ceux-là
ganhar,gagner
haver,être
querer,vouloir
consegues,tu peux
devem,doit
seguro,sûr
criança,enfant
último,dernier
sistema,système
gostava,J'ai aimé
prisão,prison
cão,chien
queremos,nous voulons
linda,beau
esposa,épouse
local,locale
peço,Je demande
música,musique
acontece,ça arrive
sítio,lieu
irá,L'Iran
trouxe,il a apporté
esteve,était
pequena,petit
conhecer,savoir
precisar,avoir besoin
salvar,sauvegarder
oportunidade,opportunité
fazemos,nous faisons
mr,M.
encontro,réunion
capaz,capable
comprar,acheter
avião,avion
achei,Je pensais
vês,tu vois
chão,sol
natal,Noël
jesus,Jésus
mortos,mort
jovem,jeune
negócio,entreprise
banho,bain
beber,boire
grandes,grand
livre,gratuit
alto,haut
situação,situation
miúdo,enfant
sob,sous
connosco,avec nous
tratar,traiter
nao,Non
deves,tu dois
cedo,tôt
veja,regarder
apanhar,prendre
entra,entrer
futuro,avenir
próximo,suivant
entendo,Je comprends
nave,bateau
final,fin
vontade,disposé
cabelo,cheveux
certa,droite
general,général
perfeito,parfait
dou,Je donne
lembras,Vous souvenez-vous
respeito,respect
devemos,nous devons
nisto,dans ce
lindo,beau
bonito,beau
guarda,garde
ordem,commande
miúda,fille
disseram,ils ont dit
preocupes,inquiétude
perguntas,questions
interessa,intérêts
oi,Hé
põe,mettre
questão,question
mensagem,message
palavras,mots
começou,ça a commencé
senhores,Messieurs
falando,parler
gajo,gars
notícias,nouvelles
acabei,J'ai fini
estiver,tu es
estávamos,nous étions
louco,fou
tira,bande
vista,voir
campo,champ
linha,doubler
tinhas,tu avais
mesa,tableau
finalmente,enfin
própria,propre
assassino,assassin
droga,médicament
fizeram,a fait
emprego,emploi
amiga,ami
barco,bateau
conversa,conversation
terá,aura
faria,serait
simples,simple
missão,mission
viagem,voyage
tom,tonifier
ataque,attaque
consegui,J'ai réussi
nessa,dans ce
gostas,tu aimes
bonita,beau
grupo,groupe
real,réel
completamente,complètement
doente,malade
bocado,peu
abrir,ouvrir
dessa,de ceci
ler,à lire
tio,oncle
pelas,par
doutor,médecin
lista,liste
crime,crime
novamente,encore
procurar,chercher
chamada,appel
segunda,deuxième
acredita,croire
quiseres,tu veux
daí,à partir de là
normal,normale
relação,relation
modo,mode
resposta,réponse
sol,soleil
desse,de cela
viva,vivant
lutar,se battre
aonde,à où
tipos,types
dizes,tu dis
saia,jupe
estúpido,stupide
meia,moitié
assunto,sujet
deixem,partir
melhores,meilleur
escritório,bureau
serviço,service
facto,fait
dor,douleur
casar,se marier
David,David
dito,dit
exército,armée
fundo,bas
fugir,s'échapper
acidente,accident
faças,faire
segundos,secondes
nesse,dans ce
vale,D'ACCORD
fixe,cool
george,George
sonho,rêve
nele,dedans
quantos,combien
escuta,écoute
ambos,les deux
graças,merci
papá,papa
preso,arrêté
tinham,avait
professor,professeur
trazer,apporter
ajudá,aide
dei,J'ai donné
pensas,tu penses
fiquei,Je suis resté
sete,Sept
esperem,attendez
roupa,vêtements
hotel,hôtel
verdadeiro,VRAI
devíamos,nous devrions
fantástico,fantastique
creio,Je crois
espaço,espace
idade,âge
bons,bien
tocar,touche
olho,œil
companhia,entreprise
saiu,il est sorti
conseguiu,il a réussi
jeito,chemin
pensava,Je pensais
escolha,choix
levou,il a pris
iria,J'irais
mente,esprit
estivesse,était
caixa,boîte
ouça,écouter
sozinha,seul
tiro,tir
programa,programme
esquerda,gauche
breve,bref
parabéns,Félicitations
voz,voix
chave,clé
gostar,aimer
engraçado,drôle
diabo,diable
costas,dos
informação,information
olhem,regarder
pegar,prendre
erro,erreur
falou,il a parlé
namorada,petite amie
fome,faim
cabo,câble
abre,ouvrir
volto,Je reviendrai
incrível,incroyable
banco,banque
fazia,a fait
estrada,route
após,après
posição,position
excelente,excellent
juro,intérêt
má,mauvais
parem,arrêt
morta,mort
loja,magasin
coronel,colonel
prometo,Je promets
povo,personnes
presente,présent
tempos,fois
fomos,nous étions
carta,lettre
mestre,professeur
proteger,protéger
explicar,expliquer
leve,lumière
trata,friandises
simplesmente,simplement
ora,maintenant
the,le
governo,gouvernement
mata,tue
cair,tomber
centro,centre
prova,preuve
senhoras,Mesdames
chamado,appelé
céu,ciel
mês,mois
aposto,Je parie
energia,énergie
soube,Je savais
mamã,maman
norte,nord
destino,destination
quente,chaud
tradução,traduction
feira,équitable
conversar,parler
ordens,ordres
lembrar,se souvenir
almoço,déjeuner
metade,moitié
direita,droite
mandar,envoyer
papel,papier
miúdos,enfants
liga,ligue
chamo,J'appelle
pediu,il a demandé
perdi,J'ai perdu
indo,en allant
ouviste,as-tu entendu
diabos,enfer
foda,Putain
advogado,avocat
tornar,devenir
base,base
conseguimos,nous avons réussi
imediatamente,immédiatement
lei,loi
através,à travers
interessante,intéressant
planeta,planète
bolas,balles
cheio,complet
voltou,il est revenu
esquece,il oublie
saiam,partir
James,Jacques
impossível,impossible
tenente,lieutenant
escrever,écrire
funciona,Ça marche
bela,beau
entendido,compris
pés,pieds
reunião,réunion
luta,lutte
saída,sortie
cena,scène
inferno,enfer
percebo,Je comprends
oito,huit
máquina,machine
comandante,commandant
câmara,chambre
falei,J'ai parlé
segredo,secrète
regras,règles
acerca,à propos
odeio,Je déteste
fizemos,nous l'avons fait
bomba,pompe
precisam,besoin
sargento,sergent
passo,étape
trabalha,Ça marche
honra,honneur
vidas,vies
digas,dire
